"Genotype","Epsib","Ict","MGR_init","plasto_init","phyllo_init","ligulo_init","leaf_length_to_IN_length","SLAp"
"IS15526",10.8109490417475,2.5841631744506,9.06754669168108,29.7679151474026,39.5701671174933,42.6776099809812,0.110416565557331,28.2847619465333
"IS15752",11.267516142923,2.50314547660532,9.43521641223658,29.0169849175217,39.7886043117772,42.4279379446714,0.106055807533984,27.7761609651913
"IS16044",11.8581040207309,2.30030171426434,9.55846212768336,29.0169849175217,39.7886043117772,42.4279379446714,0.0964106446851603,32.1750825780894
"IS16125",10.8746783566834,2.54568205439866,8.55458454528937,28.952166323932,39.585648989105,42.5168329436691,0.0962543761157232,28.9092783569792
"IS16173",10.4701291717527,2.60298282850406,9.55307040023671,28.9062217610158,39.6818655917572,42.4985173816249,0.120660354051344,29.2942270885652
"IS16186",9.62080564390493,2.17898239119461,8.84228624868493,29.0169849175217,39.7886043117772,42.4279379446714,0.109922986581054,21.7096604778147
"IS16396",9.8445471321205,2.66821839546815,8.21678540969769,29.0169849175217,39.7886043117772,42.4279379446714,0.0894301128193063,20.6678214233796
"IS16545",12.3665412001917,2.61901083273717,9.7122939281864,29.0169849175217,39.7886043117772,42.4279379446714,0.117961899414668,36.8777443874508
"IS19126",9.59719081913721,2.74441386802929,8.6457161005926,29.0169849175217,39.7886043117772,42.4279379446714,0.108415606344081,21.9818029561924
"IS19132",9.60193638658383,2.48378956457403,9.08835398357755,29.1906553593026,39.5701671174933,41.3720835913267,0.118239773999167,50.691465296122
"IS19418",10.1689274424793,2.5841631744506,7.02104294669012,29.2399672822965,39.5701671174933,41.0983760905847,0.0978335243681054,25.7805692383126
"IS19455",9.69085953937915,2.49883683424628,7.99284746209333,28.1451439138295,39.7830408269105,42.271446730826,0.135873959521203,25.9414735660041
"IS20205",9.12229477499121,2.54568205439866,8.60075686466509,28.952166323932,39.585648989105,42.5168329436691,0.14683107584442,28.9092783569792
"IS20351",9.89340870926653,2.55645825855015,8.42732088592271,28.9062217610158,39.4706739699298,42.6236697256631,0.138422000772602,24.56193343873
"IS20387",10.5660744960607,2.49883683424628,8.69319773113735,31.3280073991173,39.7830408269105,42.271446730826,0.0719784230923437,25.9414735660041
"IS21124",10.7294714214044,2.5841631744506,9.60992254735222,30.0619908746108,39.5701671174933,42.9685905208795,0.121323086314948,26.9771115787089
"IS21425",8.90264238504644,2.49904295533968,8.38954779105066,29.0169849175217,39.7886043117772,42.4279379446714,0.10632913343655,19.2665221323425
"IS21849",8.03219688169703,2.60461741838059,8.46460797138364,28.9062217610158,39.2594823481024,42.0250968027402,0.109665543720796,22.5421354945357
"IS22282",8.57417581029561,2.50993368859625,7.94288065621616,28.9062217610158,39.7428716493919,41.3622543470088,0.146130627307542,21.1923416656037
"IS22287",8.98314946572803,2.73776798724801,7.69258158689745,27.6654237994705,39.5701671174933,39.3841438627504,0.13806089404304,24.1313329429458
"IS22291",9.55412907168561,2.47433958993124,8.35267299833859,27.7649006876326,39.5701671174933,42.2799478783888,0.14642148488112,27.9436915920831
