"Genotype","Epsib","Ict","MGR_init","plasto_init","phyllo_init","ligulo_init","leaf_length_to_IN_length","SLAp"
"IS19126",9.49707783365057,2.29393678819778,8.46139156299986,27.7106884778257,38.071783602002,42.0380609586901,0.124053543233835,33.0406147740199
"IS19132",9.85042328860877,2.46161434149627,8.65088076232493,28.3470478502414,38.8641968069636,42.5432941550145,0.112983542728168,31.7974770169287
"IS19418",10.3557030647895,2.42988700651876,8.97768489843402,29.513582229071,40.1028135932969,42.249310089951,0.100601574909581,30.9063909372594
"IS19455",9.22394589313953,2.39825465700887,7.84221942624288,29.7029365780714,39.9870084173895,41.3499031846519,0.149535522389584,20.1610765003234
"IS20205",9.31174454024077,2.28763806640881,8.37694747794358,28.6731806723731,38.2936538484056,42.1227788815274,0.112692223720628,30.3586166616913
"IS20351",10.2167647335588,2.39654259561636,8.74789961213988,27.9545320662832,38.1096504978577,42.6649660485052,0.133095220802728,31.2750308720662
"IS20387",10.207650733087,2.40192962447417,8.6155913219164,29.7741357358204,40.5474719968621,42.8027531436913,0.0898608006736715,30.2174431760227
"IS21124",10.7539556401936,2.59335732323622,8.91497028814215,29.5870666549457,41.5517272720361,42.93091866548,0.115709871277741,25.3006569518222
"IS21425",9.19326189818325,2.41600449795487,8.24570945694418,28.1617547646024,38.7387636853766,41.7541424910115,0.131585387958895,21.3682281327886
"IS21849",8.00800867263348,2.58734326335008,8.33549062555319,30.5822372560698,37.0322148645596,41.2107688837847,0.101570353900847,22.2518837555519
"IS22282",8.35123506083159,2.90220650882122,7.64125401348567,27.7851503869108,39.1721600298138,40.6617275661791,0.123533623164444,23.7330051347402
"IS22287",7.96654127800958,2.94317497359725,7.44562651294375,27.0168274858517,38.735164414902,40.4828571468594,0.133931878261016,22.2548223346482
"IS22291",9.24102687421632,2.49796949986302,8.22103116957706,26.3613281386496,38.1310763932064,41.8262033465784,0.160119466361406,29.0277063448749
"IS22294",8.17986325698348,3.1455909565327,7.71217254670091,27.7405540395495,39.3999716203934,41.2857286132912,0.115682077489497,22.7144304970758
"IS22996",10.4758276150404,2.65305967688299,9.00916830126095,27.9132087513471,40.7509146674318,42.2669036527474,0.114918675992331,28.5322145882558
"IS23033",9.4985244341781,2.2899484927959,8.39312450004322,29.3124291751202,38.4715065145441,42.1700134068514,0.120274279967823,33.0845935346647
"IS23048",10.5950048635955,2.54647638345558,9.08267721618278,28.269487714063,40.5980203527417,42.5524987827183,0.103115087674142,31.915787745265
"IS23053",10.8221531418258,2.55025927837824,8.83120542489293,29.0826676144525,39.9264230686052,42.7503448650884,0.106904573204609,29.2836748195694
"IS23100",9.91240511764796,2.73728852437774,8.42713759381895,27.0643341762771,39.9158256802272,42.4735901973145,0.123692591201306,21.5617507185267
"IS23142",8.67976063941264,2.62314620907589,8.37500366496585,27.7076102274327,39.4034021855143,40.7734185876666,0.117067057494012,19.7354551734173
"IS23178",9.49364788598445,2.55849250176086,8.37751182165005,28.5738033297936,39.8919666221079,41.828277013175,0.135888096045204,21.6314933575582
"IS23254",8.9704633639389,2.58104848587444,8.16398339387652,27.8052131822584,39.0651219080968,41.267992579428,0.137791948977615,20.6886889459455
"IS23540",11.04911247486,2.69861470538105,9.52109895767184,27.6374932722641,40.841051880115,42.6740636092143,0.0884116199705701,29.5671055401135
"IS23601",10.8654212954899,2.5696203267667,9.21686589935363,30.8800022523958,40.8569240310502,42.6841657121811,0.103549420388995,34.7994174331457
"IS23645",8.9098867228563,2.58352835826787,8.09810559640829,30.3953345940755,40.1511846402893,43.1878830920226,0.106063260659061,12.7079253111731
"IS2367",10.0286339942353,2.5519003114626,8.64205375956744,28.6845088148737,38.4991107472352,42.208452991158,0.117418122444151,33.6170432090439
"IS24072",9.12477563753722,2.58367655476236,8.08765193065127,27.0284739566892,38.5332004739006,40.7091077195705,0.133514014902955,24.0755926137533
"IS24083",11.0410444299085,2.58954062282994,9.36488679356096,28.9221188994447,40.0482579063543,43.0172189236106,0.100729983019915,32.9607975742088
"IS24775",9.02567356592264,2.28337991422133,8.49352009343927,31.8567285427227,38.8152452618129,43.3541284724018,0.0773675680131294,24.886185941323
"IS24786",10.7452747906975,2.42971115026741,8.72280219361181,29.4788744402275,40.7591194600338,42.7930928652672,0.0842743814120229,31.9126715483974
"IS24887",9.15891513767069,2.2549078947695,8.50739239165055,30.6984016579266,39.3260244827562,43.0539589911603,0.0715432277081897,24.2588573572108
"IS24913",8.95780024578538,2.49209065736477,8.0022260681837,29.0661805447224,39.4812947191221,41.6655474969833,0.151033287125905,19.9477454014877
"IS24939",9.17228137339638,2.63726851679979,8.29921455545239,29.8866095949458,39.8856553530951,41.7622170815696,0.126453876363348,24.7490201921359
"IS24940",9.38131571594642,2.6673624683678,8.24692984931965,28.3079195460219,39.6692503464475,42.0808107409307,0.107566690435624,21.2218478701204
"IS24953",9.36075699203534,2.4977927610949,8.41915787107779,27.9623326611065,39.2146867582518,41.0919278273266,0.112275366829388,26.8219579147925
"IS25207",9.51845179765542,2.67989793648385,8.90655736475888,28.8664279842702,38.1575910603249,41.2504581064233,0.123052117688022,39.9241608110451
"IS25301",8.99916911402806,2.17405997853046,8.79886308637153,30.1571330555026,39.2845743755966,43.2752204643529,0.145639614282627,33.0696313123651
"IS25442",11.0331284835897,2.5096319058537,9.47100855868239,29.14695239194,40.3204692816743,42.8550698107758,0.0925309643565222,36.7737228972075
"IS25596",8.94231068917976,2.49626418994891,8.71289837600152,28.8585480319953,39.0998179257384,41.2601399603884,0.0945171010782717,26.415588897846
"IS25702",9.92370866093736,2.38206859541383,8.83393398945309,27.9273140195371,40.2402435090606,42.3603496483662,0.10271164433509,28.9096921576327
"IS25836",9.69318025185001,2.30809012648034,8.54507774784036,28.4333451645505,38.4939527801612,42.5271427533646,0.111442461198211,27.3938952794344
"IS25916",9.87122767684817,2.30240886435461,8.50634985058904,27.7223623842853,38.0541018516966,42.7600712946883,0.120345865383299,28.2753404250066
"IS26110",8.88283093318281,2.33446305639278,8.54072015743465,31.7695810094009,38.4690759228803,43.8329431820012,0.0651799687985136,22.2371537022142
"IS26735",9.89045963983734,2.34776584973116,8.64565834296583,28.7314016418493,39.3558211338044,42.4203765723845,0.0879130915119948,37.5140681157024
"IS27599",10.7965493860999,2.55993308880808,9.07026115132705,30.2299038789419,40.466055491275,42.90105264108,0.121757961432794,32.7346481838604
"IS2787",11.4678552293627,2.68624304943137,9.40912607424015,29.3071963564294,40.6608723335,43.3965451975323,0.0967787678839302,31.2401306882288
"IS2834",9.44465527813693,2.72582855999712,8.10240287850876,28.2631501717425,39.4887018900218,41.9920039013009,0.114535110851456,21.712248128724
"IS2873",9.26237105010654,2.31555098934784,8.66010876246697,28.7578535702384,38.3147551754072,41.2127835465454,0.121157005936583,38.8784797607466
"IS29870",9.25975875571242,2.55574727638219,8.19759218459455,28.8580352008239,40.0439455016103,41.3927213196301,0.132356293958582,21.0065589283766
"IS29977",9.65266790224336,2.15126899767613,8.4723323964198,27.1517719172808,36.9993979947579,42.7894098979963,0.123744216672394,34.0521252531614
"IS30175",9.4191945530403,2.41492625944651,8.32597075701805,26.6509135064591,39.1079352964302,41.8302610567132,0.160166383793039,24.9530445194094
"IS30207",8.52200101281608,2.59814016648585,7.9595269121713,27.7590689557919,39.0812861409924,41.5543160985166,0.144462230155363,22.4375034921218
"IS30619",10.7090641918955,2.48643439588471,9.37375059395789,29.0953253256215,40.0833937184452,42.5624201725315,0.108168695448967,34.853705693202
